title,initiative_url,feedback_url,feedback_count,topic,type_of_act,feedback_period,feedback_start,feedback_end,correct_feedback_url
Upload of software on radio equipmentTopicSingle marketType of actDelegated regulationFeedback period25 May 2020 - 14 September 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/2042-Upload-of-software-on-radio-equipment_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/2042-Upload-of-software-on-radio-equipment/feedback,276,Single market,Delegated regulation,25 May 2020 - 14 September 2020,2020-05-25,2020-09-14,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/2042-Upload-of-software-on-radio-equipment/feedback_en?p_id=11538
European disability cardTopicEmployment and social affairsType of actProposal for a directiveFeedback period10 February 2023 - 05 May 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13517-European-disability-card_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13517-European-disability-card/feedback,273,Employment and social affairs,Proposal for a directive,10 February 2023 - 05 May 2023,2023-02-10,2023-05-05,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13517-European-disability-card/feedback_en?p_id=16470
Protecting waters from pollution caused by nitrates from agricultural sources - EvaluationTopicEnvironmentType of actEvaluationFeedback period01 December 2023 - 08 March 2024,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14051-Protecting-waters-from-pollution-caused-by-nitrates-from-agricultural-sources-Evaluation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14051-Protecting-waters-from-pollution-caused-by-nitrates-from-agricultural-sources-Evaluation/feedback,248,Environment,Evaluation,01 December 2023 - 08 March 2024,2023-12-01,2024-03-08,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14051-Protecting-waters-from-pollution-caused-by-nitrates-from-agricultural-sources-Evaluation/feedback_en?p_id=17659
European Data Union StrategyTopicDigital economy and societyType of actCommunicationFeedback period23 May 2025 - 20 July 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14541-European-Data-Union-Strategy_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14541-European-Data-Union-Strategy/feedback,247,Digital economy and society,Communication,23 May 2025 - 20 July 2025,2025-05-23,2025-07-20,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14541-European-Data-Union-Strategy/feedback_en?p_id=19708
Sustainable and Smart Mobility StrategyTopicTransportType of actCommunicationFeedback period01 July 2020 - 23 September 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12438-Sustainable-and-Smart-Mobility-Strategy_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12438-Sustainable-and-Smart-Mobility-Strategy/feedback,246,Transport,Communication,01 July 2020 - 23 September 2020,2020-07-01,2020-09-23,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12438-Sustainable-and-Smart-Mobility-Strategy/feedback_en?p_id=13249
Energy efficiency – Revision of the Energy Performance of Buildings DirectiveTopicEnergyType of actProposal for a directiveFeedback period30 March 2021 - 22 June 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12910-Energy-efficiency-Revision-of-the-Energy-Performance-of-Buildings-Directive_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12910-Energy-efficiency-Revision-of-the-Energy-Performance-of-Buildings-Directive/feedback,243,Energy,Proposal for a directive,30 March 2021 - 22 June 2021,2021-03-30,2021-06-22,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12910-Energy-efficiency-Revision-of-the-Energy-Performance-of-Buildings-Directive/feedback_en?p_id=14213
Pharmaceuticals – safe and affordable medicines (new EU strategy)TopicPublic healthType of actCommunicationFeedback period16 June 2020 - 15 September 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12421-Pharmaceuticals-safe-and-affordable-medicines-new-EU-strategy-_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12421-Pharmaceuticals-safe-and-affordable-medicines-new-EU-strategy-/feedback,242,Public health,Communication,16 June 2020 - 15 September 2020,2020-06-16,2020-09-15,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12421-Pharmaceuticals-safe-and-affordable-medicines-new-EU-strategy-/feedback_en?p_id=13130
Certification of carbon removals – EU rulesTopicClimate actionType of actProposal for a regulationFeedback period07 February 2022 - 02 May 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13172-Certification-of-carbon-removals-EU-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13172-Certification-of-carbon-removals-EU-rules/feedback,231,Climate action,Proposal for a regulation,07 February 2022 - 02 May 2022,2022-02-07,2022-05-02,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13172-Certification-of-carbon-removals-EU-rules/feedback_en?p_id=15602
Sustainable EU food system –new initiativeTopicFood safetyType of actProposal for a regulationFeedback period28 April 2022 - 21 July 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13174-Sustainable-EU-food-system-new-initiative_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13174-Sustainable-EU-food-system-new-initiative/feedback,230,Food safety,Proposal for a regulation,28 April 2022 - 21 July 2022,2022-04-28,2022-07-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13174-Sustainable-EU-food-system-new-initiative/feedback_en?p_id=15097
EU strategy for sustainable textilesTopicEnvironmentType of actCommunicationFeedback period12 May 2021 - 04 August 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12822-EU-strategy-for-sustainable-textiles_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12822-EU-strategy-for-sustainable-textiles/feedback,229,Environment,Communication,12 May 2021 - 04 August 2021,2021-05-12,2021-08-04,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12822-EU-strategy-for-sustainable-textiles/feedback_en?p_id=14017
Healthy soils – new EU soil strategyTopicEnvironmentType of actCommunicationFeedback period02 February 2021 - 27 April 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12634-Healthy-soils-new-EU-soil-strategy_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12634-Healthy-soils-new-EU-soil-strategy/feedback,228,Environment,Communication,02 February 2021 - 27 April 2021,2021-02-02,2021-04-27,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12634-Healthy-soils-new-EU-soil-strategy/feedback_en?p_id=13756
New product priorities for Ecodesign for Sustainable ProductsTopicEnvironmentType of actCommunicationFeedback period31 January 2023 - 12 May 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13682-New-product-priorities-for-Ecodesign-for-Sustainable-Products_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13682-New-product-priorities-for-Ecodesign-for-Sustainable-Products/feedback,227,Environment,Communication,31 January 2023 - 12 May 2023,2023-01-31,2023-05-12,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13682-New-product-priorities-for-Ecodesign-for-Sustainable-Products/feedback_en?p_id=16700
Commercial vehicles – weights and dimensions (evaluation)TopicTransportType of actProposal for a directiveFeedback period26 April 2022 - 19 July 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13278-Commercial-vehicles-weights-and-dimensions-evaluation-_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13278-Commercial-vehicles-weights-and-dimensions-evaluation-/feedback,224,Transport,Proposal for a directive,26 April 2022 - 19 July 2022,2022-04-26,2022-07-19,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13278-Commercial-vehicles-weights-and-dimensions-evaluation-/feedback_en?p_id=15545
"EU Green Deal (carbon border adjustment mechanism)TopicClimate action, Customs, Taxation, TradeType of actProposal for a regulationFeedback period22 July 2020 - 28 October 2020",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12228-EU-Green-Deal-carbon-border-adjustment-mechanism-_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12228-EU-Green-Deal-carbon-border-adjustment-mechanism-/feedback,224,"Climate action, Customs, Taxation, Trade",Proposal for a regulation,22 July 2020 - 28 October 2020,2020-07-22,2020-10-28,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12228-EU-Green-Deal-carbon-border-adjustment-mechanism-/feedback_en?p_id=12842
Vehicle safety – revising the EU’s roadworthiness packageTopicTransportType of actProposal for a directiveFeedback period06 July 2022 - 28 September 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13132-Vehicle-safety-revising-the-EUs-roadworthiness-package_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13132-Vehicle-safety-revising-the-EUs-roadworthiness-package/feedback,217,Transport,Proposal for a directive,06 July 2022 - 28 September 2022,2022-07-06,2022-09-28,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13132-Vehicle-safety-revising-the-EUs-roadworthiness-package/feedback_en?p_id=15132
Anti-racism StrategyTopicJustice and fundamental rightsType of actCommunicationFeedback period15 April 2025 - 08 July 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14552-Anti-racism-Strategy_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14552-Anti-racism-Strategy/feedback,207,Justice and fundamental rights,Communication,15 April 2025 - 08 July 2025,2025-04-15,2025-07-08,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14552-Anti-racism-Strategy/feedback_en?p_id=19524
"Industrial carbon management – carbon capture, utilisation and storage deploymentTopicEnergyType of actCommunicationFeedback period08 June 2023 - 31 August 2023",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13848-Industrial-carbon-management-carbon-capture-utilisation-and-storage-deployment_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13848-Industrial-carbon-management-carbon-capture-utilisation-and-storage-deployment/feedback,205,Energy,Communication,08 June 2023 - 31 August 2023,2023-06-08,2023-08-31,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13848-Industrial-carbon-management-carbon-capture-utilisation-and-storage-deployment/feedback_en?p_id=17029
Deforestation and forest degradation – stepping up EU actionTopicEnvironmentFeedback period14 January 2019 - 25 February 2019,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/2027-Deforestation-and-forest-degradation-stepping-up-EU-action_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/2027-Deforestation-and-forest-degradation-stepping-up-EU-action/feedback,202,Environment,,14 January 2019 - 25 February 2019,2019-01-14,2019-02-25,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/2027-Deforestation-and-forest-degradation-stepping-up-EU-action/feedback_en?p_id=11445
Environmental impact of waste management – revision of EU waste frameworkTopicEnvironmentType of actProposal for a directiveFeedback period24 May 2022 - 24 August 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13225-Environmental-impact-of-waste-management-revision-of-EU-waste-framework_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13225-Environmental-impact-of-waste-management-revision-of-EU-waste-framework/feedback,198,Environment,Proposal for a directive,24 May 2022 - 24 August 2022,2022-05-24,2022-08-24,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13225-Environmental-impact-of-waste-management-revision-of-EU-waste-framework/feedback_en?p_id=15560
Rural development – long-term vision for rural areasTopicAgriculture and rural developmentType of actCommunicationFeedback period07 September 2020 - 30 November 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12525-Rural-development-long-term-vision-for-rural-areas_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12525-Rural-development-long-term-vision-for-rural-areas/feedback,198,Agriculture and rural development,Communication,07 September 2020 - 30 November 2020,2020-09-07,2020-11-30,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12525-Rural-development-long-term-vision-for-rural-areas/feedback_en?p_id=13334
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluationTopicEducation and trainingType of actReportFeedback period15 September 2023 - 08 December 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/feedback,195,Education and training,Report,15 September 2023 - 08 December 2023,2023-09-15,2023-12-08,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/feedback_en?p_id=16141
Payment services – review of EU rulesTopicBanking and financial servicesType of actReportFeedback period10 May 2022 - 02 August 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13331-Payment-services-review-of-EU-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13331-Payment-services-review-of-EU-rules/feedback,195,Banking and financial services,Report,10 May 2022 - 02 August 2022,2022-05-10,2022-08-02,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13331-Payment-services-review-of-EU-rules/feedback_en?p_id=15917
Environmental performance of products & businesses – substantiating claimsTopicEnvironmentType of actProposal for a directiveFeedback period27 August 2020 - 03 December 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12511-Environmental-performance-of-products-businesses-substantiating-claims_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12511-Environmental-performance-of-products-businesses-substantiating-claims/feedback,193,Environment,Proposal for a directive,27 August 2020 - 03 December 2020,2020-08-27,2020-12-03,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12511-Environmental-performance-of-products-businesses-substantiating-claims/feedback_en?p_id=13326
Sustainable products initiativeTopicEnvironmentType of actProposal for a regulationFeedback period17 March 2021 - 09 June 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12567-Sustainable-products-initiative_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12567-Sustainable-products-initiative/feedback,193,Environment,Proposal for a regulation,17 March 2021 - 09 June 2021,2021-03-17,2021-06-09,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12567-Sustainable-products-initiative/feedback_en?p_id=13512
EU energy efficiency directive (EED) – evaluation and reviewTopicEnergyType of actProposal for a directiveFeedback period17 November 2020 - 09 February 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12552-EU-energy-efficiency-directive-EED-evaluation-and-review_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12552-EU-energy-efficiency-directive-EED-evaluation-and-review/feedback,189,Energy,Proposal for a directive,17 November 2020 - 09 February 2021,2020-11-17,2021-02-09,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12552-EU-energy-efficiency-directive-EED-evaluation-and-review/feedback_en?p_id=13400
"Soil health – protecting, sustainably managing and restoring EU soilsTopicEnvironmentType of actProposal for a directiveFeedback period01 August 2022 - 24 October 2022",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13350-Soil-health-protecting-sustainably-managing-and-restoring-EU-soils_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13350-Soil-health-protecting-sustainably-managing-and-restoring-EU-soils/feedback,189,Environment,Proposal for a directive,01 August 2022 - 24 October 2022,2022-08-01,2022-10-24,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13350-Soil-health-protecting-sustainably-managing-and-restoring-EU-soils/feedback_en?p_id=15636
Energy efficiency in buildings – consultation on ‘renovation wave’ initiativeTopicEnergyType of actCommunicationFeedback period11 June 2020 - 09 July 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12376-Energy-efficiency-in-buildings-consultation-on-renovation-wave-initiative_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12376-Energy-efficiency-in-buildings-consultation-on-renovation-wave-initiative/feedback,187,Energy,Communication,11 June 2020 - 09 July 2020,2020-06-11,2020-07-09,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12376-Energy-efficiency-in-buildings-consultation-on-renovation-wave-initiative/feedback_en?p_id=13055
Microplastics pollution – measures to reduce its impact on the environmentTopicEnvironmentType of actProposal for a regulationFeedback period22 February 2022 - 17 May 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12823-Microplastics-pollution-measures-to-reduce-its-impact-on-the-environment_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12823-Microplastics-pollution-measures-to-reduce-its-impact-on-the-environment/feedback,186,Environment,Proposal for a regulation,22 February 2022 - 17 May 2022,2022-02-22,2022-05-17,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12823-Microplastics-pollution-measures-to-reduce-its-impact-on-the-environment/feedback_en?p_id=15312
"Revision of EU legislation on hazard classification, labelling and packaging of chemicalsTopicEnvironmentType of actProposal for a regulationFeedback period09 August 2021 - 15 November 2021",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12975-Revision-of-EU-legislation-on-hazard-classification-labelling-and-packaging-of-chemicals_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12975-Revision-of-EU-legislation-on-hazard-classification-labelling-and-packaging-of-chemicals/feedback,182,Environment,Proposal for a regulation,09 August 2021 - 15 November 2021,2021-08-09,2021-11-15,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12975-Revision-of-EU-legislation-on-hazard-classification-labelling-and-packaging-of-chemicals/feedback_en?p_id=14533
"EU Green Deal – Revision of the Energy Taxation DirectiveTopicClimate action, Energy, TaxationType of actProposal for a directiveFeedback period22 July 2020 - 14 October 2020",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12227-EU-Green-Deal-Revision-of-the-Energy-Taxation-Directive_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12227-EU-Green-Deal-Revision-of-the-Energy-Taxation-Directive/feedback,180,"Climate action, Energy, Taxation",Proposal for a directive,22 July 2020 - 14 October 2020,2020-07-22,2020-10-14,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12227-EU-Green-Deal-Revision-of-the-Energy-Taxation-Directive/feedback_en?p_id=12843
Digital product passport – rules for service providersTopicSingle marketType of actDelegated decisionFeedback period08 April 2025 - 01 July 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14382-Digital-product-passport-rules-for-service-providers_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14382-Digital-product-passport-rules-for-service-providers/feedback,178,Single market,Delegated decision,08 April 2025 - 01 July 2025,2025-04-08,2025-07-01,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14382-Digital-product-passport-rules-for-service-providers/feedback_en?p_id=18839
Global health – new EU strategyTopicPublic healthType of actCommunicationFeedback period27 June 2022 - 19 September 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13506-Global-health-new-EU-strategy_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13506-Global-health-new-EU-strategy/feedback,176,Public health,Communication,27 June 2022 - 19 September 2022,2022-06-27,2022-09-19,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13506-Global-health-new-EU-strategy/feedback_en?p_id=16040
Revision of the EU general pharmaceuticals legislationTopicPublic healthType of actProposal for a regulationFeedback period28 September 2021 - 21 December 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12963-Revision-of-the-EU-general-pharmaceuticals-legislation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12963-Revision-of-the-EU-general-pharmaceuticals-legislation/feedback,173,Public health,Proposal for a regulation,28 September 2021 - 21 December 2021,2021-09-28,2021-12-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12963-Revision-of-the-EU-general-pharmaceuticals-legislation/feedback_en?p_id=14390
Adapting to climate change – EU strategyTopicClimate actionType of actCommunicationFeedback period14 May 2020 - 20 August 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12381-Adapting-to-climate-change-EU-strategy_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12381-Adapting-to-climate-change-EU-strategy/feedback,172,Climate action,Communication,14 May 2020 - 20 August 2020,2020-05-14,2020-08-20,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12381-Adapting-to-climate-change-EU-strategy/feedback_en?p_id=13066
Animal welfare – evaluation of EU rules (fitness check)TopicFood safetyType of actStaff working documentFeedback period15 October 2021 - 21 January 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12400-Animal-welfare-evaluation-of-EU-rules-fitness-check-_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12400-Animal-welfare-evaluation-of-EU-rules-fitness-check-/feedback,172,Food safety,Staff working document,15 October 2021 - 21 January 2022,2021-10-15,2022-01-21,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12400-Animal-welfare-evaluation-of-EU-rules-fitness-check-/feedback_en?p_id=13100
Intellectual property – new framework for standard-essential patentsTopicSingle marketType of actProposal for a regulationFeedback period14 February 2022 - 09 May 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13109-Intellectual-property-new-framework-for-standard-essential-patents_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13109-Intellectual-property-new-framework-for-standard-essential-patents/feedback,157,Single market,Proposal for a regulation,14 February 2022 - 09 May 2022,2022-02-14,2022-05-09,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13109-Intellectual-property-new-framework-for-standard-essential-patents/feedback_en?p_id=15629
Agricultural products – revision of EU marketing standardsTopicAgriculture and rural developmentType of actProposal for a directiveFeedback period08 June 2021 - 31 August 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12772-Agricultural-products-revision-of-EU-marketing-standards_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12772-Agricultural-products-revision-of-EU-marketing-standards/feedback,156,Agriculture and rural development,Proposal for a directive,08 June 2021 - 31 August 2021,2021-06-08,2021-08-31,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12772-Agricultural-products-revision-of-EU-marketing-standards/feedback_en?p_id=14082
Cosmetic Products Regulation – evaluationTopicSingle marketType of actEvaluationFeedback period05 May 2025 - 28 July 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14433-Cosmetic-Products-Regulation-evaluation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14433-Cosmetic-Products-Regulation-evaluation/feedback,155,Single market,Evaluation,05 May 2025 - 28 July 2025,2025-05-05,2025-07-28,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14433-Cosmetic-Products-Regulation-evaluation/feedback_en?p_id=19201
Industrial emissions – EU rules updatedTopicEnvironmentType of actProposal for a directiveFeedback period22 December 2020 - 23 March 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12306-Industrial-emissions-EU-rules-updated_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12306-Industrial-emissions-EU-rules-updated/feedback,155,Environment,Proposal for a directive,22 December 2020 - 23 March 2021,2020-12-22,2021-03-23,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12306-Industrial-emissions-EU-rules-updated/feedback_en?p_id=12938
"Access to vehicle data, functions and resourcesTopicSingle marketType of actProposal for a regulationFeedback period29 March 2022 - 02 August 2022",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13180-Access-to-vehicle-data-functions-and-resources_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13180-Access-to-vehicle-data-functions-and-resources/feedback,154,Single market,Proposal for a regulation,29 March 2022 - 02 August 2022,2022-03-29,2022-08-02,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13180-Access-to-vehicle-data-functions-and-resources/feedback_en?p_id=15781
European Health Emergency Preparedness and Response Authority (HERA)TopicPublic healthType of actImplementing decisionFeedback period31 March 2021 - 12 May 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12870-European-Health-Emergency-Preparedness-and-Response-Authority-HERA-_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12870-European-Health-Emergency-Preparedness-and-Response-Authority-HERA-/feedback,154,Public health,Implementing decision,31 March 2021 - 12 May 2021,2021-03-31,2021-05-12,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12870-European-Health-Emergency-Preparedness-and-Response-Authority-HERA-/feedback_en?p_id=14129
Digital health data and services – the European health data spaceTopicPublic healthType of actProposal for a regulationFeedback period03 May 2021 - 26 July 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12663-Digital-health-data-and-services-the-European-health-data-space_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12663-Digital-health-data-and-services-the-European-health-data-space/feedback,151,Public health,Proposal for a regulation,03 May 2021 - 26 July 2021,2021-05-03,2021-07-26,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12663-Digital-health-data-and-services-the-European-health-data-space/feedback_en?p_id=14010
EU farm and food products – review of policy on promotion inside and outside the EUTopicAgriculture and rural developmentType of actProposal for a regulationFeedback period31 March 2021 - 23 June 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12782-EU-farm-and-food-products-review-of-policy-on-promotion-inside-and-outside-the-EU_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12782-EU-farm-and-food-products-review-of-policy-on-promotion-inside-and-outside-the-EU/feedback,151,Agriculture and rural development,Proposal for a regulation,31 March 2021 - 23 June 2021,2021-03-31,2021-06-23,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12782-EU-farm-and-food-products-review-of-policy-on-promotion-inside-and-outside-the-EU/feedback_en?p_id=14174
Connecting Europe Facility 2014-2020 – evaluationTopicTransportType of actReportFeedback period05 March 2025 - 28 May 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14245-Connecting-Europe-Facility-2014-2020-evaluation_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14245-Connecting-Europe-Facility-2014-2020-evaluation/feedback,147,Transport,Report,05 March 2025 - 28 May 2025,2025-03-05,2025-05-28,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14245-Connecting-Europe-Facility-2014-2020-evaluation/feedback_en?p_id=18618
"Measures to further improve the effectiveness of the fight against illegal content onlineTopicMigration and asylum, Digital economy and society, Home affairsType of actProvisional dataFeedback period30 April 2018 - 25 June 2018",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/1613-Measures-to-further-improve-the-effectiveness-of-the-fight-against-illegal-content-online_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/1613-Measures-to-further-improve-the-effectiveness-of-the-fight-against-illegal-content-online/feedback,146,"Migration and asylum, Digital economy and society, Home affairs",Provisional data,30 April 2018 - 25 June 2018,2018-04-30,2018-06-25,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/1613-Measures-to-further-improve-the-effectiveness-of-the-fight-against-illegal-content-online/feedback_en?p_id=10774
Gas networks - revision of EU rules on market accessTopicEnergyType of actProposal for a regulationFeedback period26 March 2021 - 18 June 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12766-Gas-networks-revision-of-EU-rules-on-market-access_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12766-Gas-networks-revision-of-EU-rules-on-market-access/feedback,140,Energy,Proposal for a regulation,26 March 2021 - 18 June 2021,2021-03-26,2021-06-18,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12766-Gas-networks-revision-of-EU-rules-on-market-access/feedback_en?p_id=14181
